country,elasticsearch,mongodb,port:21,port:22,port:3389,port:445,redis,risk_score,cluster,risk_level,ai_comment
BR,100,2089,108163,335924,36555,17087,1095,1721670,0,Low Risk,Risk Seviyesi: Low Risk. Toplam risk skoru: 1721670. Bu ülke yüksek FTP exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: zayıf kimlik doğrulama saldırıları.
CN,2579,19706,926861,2126109,608796,7943,12719,13306903,2,Medium Risk,"Risk Seviyesi: Medium Risk. Toplam risk skoru: 13306903. Bu ülke yüksek SSH exposure , yüksek RDP exposure , yüksek FTP exposure , yüksek MongoDB exposure , yüksek Redis exposure , yüksek Elasticsearch exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , ransomware ve credential attack , zayıf kimlik doğrulama saldırıları , veri sızıntısı , unauthorized cache access , search database leakage."
DE,844,10791,414313,2133654,152875,63239,8662,9219128,0,Low Risk,"Risk Seviyesi: Low Risk. Toplam risk skoru: 9219128. Bu ülke yüksek SSH exposure , yüksek RDP exposure , yüksek FTP exposure , SMB servis exposure , yüksek MongoDB exposure , yüksek Redis exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , ransomware ve credential attack , zayıf kimlik doğrulama saldırıları , worm propagation ve lateral movement , veri sızıntısı , unauthorized cache access."
FR,410,4986,183050,663184,49054,32526,2665,3161486,0,Low Risk,"Risk Seviyesi: Low Risk. Toplam risk skoru: 3161486. Bu ülke yüksek SSH exposure , yüksek FTP exposure , SMB servis exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , zayıf kimlik doğrulama saldırıları , worm propagation ve lateral movement."
GB,2358,1658,114590,697625,97006,43900,1814,3276727,0,Low Risk,"Risk Seviyesi: Low Risk. Toplam risk skoru: 3276727. Bu ülke yüksek SSH exposure , yüksek FTP exposure , SMB servis exposure , yüksek Elasticsearch exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , zayıf kimlik doğrulama saldırıları , worm propagation ve lateral movement , search database leakage."
IN,584,4277,53852,335681,40522,25633,2345,1581466,0,Low Risk,Risk Seviyesi: Low Risk. Toplam risk skoru: 1581466. Bu ülke orta seviyede exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: genel servis saldırıları.
JP,1738,1311,346857,567554,65612,31871,1454,3593779,0,Low Risk,"Risk Seviyesi: Low Risk. Toplam risk skoru: 3593779. Bu ülke yüksek SSH exposure , yüksek FTP exposure , SMB servis exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , zayıf kimlik doğrulama saldırıları , worm propagation ve lateral movement."
NL,2645,2014,121013,733024,54043,17514,1512,3062948,0,Low Risk,"Risk Seviyesi: Low Risk. Toplam risk skoru: 3062948. Bu ülke yüksek SSH exposure , yüksek FTP exposure , yüksek Elasticsearch exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , zayıf kimlik doğrulama saldırıları , search database leakage."
RU,148,1476,62951,319160,10371,6216,1723,1305459,0,Low Risk,Risk Seviyesi: Low Risk. Toplam risk skoru: 1305459. Bu ülke orta seviyede exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: genel servis saldırıları.
TR,60,467,51549,86172,26852,20185,364,703401,0,Low Risk,Risk Seviyesi: Low Risk. Toplam risk skoru: 703401. Bu ülke orta seviyede exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: genel servis saldırıları.
US,14777,15671,1199799,5722884,457288,199414,14431,25416097,1,High Risk,"Risk Seviyesi: High Risk. Toplam risk skoru: 25416097. Bu ülke yüksek SSH exposure , yüksek RDP exposure , yüksek FTP exposure , SMB servis exposure , yüksek MongoDB exposure , yüksek Redis exposure , yüksek Elasticsearch exposure nedeniyle riskli görünmektedir. Potansiyel tehditler: brute-force saldırıları , ransomware ve credential attack , zayıf kimlik doğrulama saldırıları , worm propagation ve lateral movement , veri sızıntısı , unauthorized cache access , search database leakage."
